Applicant.ID,Job.ID,Title,Position,Company,City,State.Name,State.Code,Industry,View.Start,View.End,View.Duration,Created.At,Updated.At
11802,129850,Warehouse Worker (Loader) PT (Mon-Fri 2pm-9pm) Job @ NAPA,Warehouse Worker (Loader) PT (Mon-Fri 2pm-9pm) Job,NAPA,Jacksonville,Florida,FL,NA,2015-01-09 17:52:20 UTC,2015-01-09 17:52:30 UTC,9,2015-01-09 17:52:20 UTC,2015-01-09 17:52:20 UTC
11802,180496,Delivery Driver (Part -Time) - Westside 005 Job @ NAPA,Delivery Driver (Part -Time) - Westside 005 Job,NAPA,Jacksonville,Florida,FL,NA,2015-01-09 17:53:00 UTC,2015-01-09 17:53:07 UTC,6,2015-01-09 17:53:00 UTC,2015-01-09 17:53:00 UTC
11802,180496,Delivery Driver (Part -Time) - Westside 005 Job @ NAPA,Delivery Driver (Part -Time) - Westside 005 Job,NAPA,Jacksonville,Florida,FL,NA,2015-01-09 17:54:32 UTC,2015-01-09 17:54:43 UTC,11,2015-01-09 17:54:32 UTC,2015-01-09 17:54:32 UTC
11802,167469,Warehouse Associate (Part Time) Monday - Friday 7:00AM - 1:30PM Job @ NAPA,Warehouse Associate (Part Time) Monday - Friday 7:00AM - 1:30PM Job,NAPA,Jacksonville,Florida,FL,NA,2015-01-09 17:54:53 UTC,2015-01-09 17:55:04 UTC,11,2015-01-09 17:54:53 UTC,2015-01-09 17:54:53 UTC
11802,167469,Warehouse Associate (Part Time) Monday - Friday 7:00AM - 1:30PM Job @ NAPA,Warehouse Associate (Part Time) Monday - Friday 7:00AM - 1:30PM Job,NAPA,Jacksonville,Florida,FL,NA,2015-01-09 17:55:19 UTC,2015-01-09 17:56:17 UTC,58,2015-01-09 17:55:19 UTC,2015-01-09 17:55:19 UTC
11802,167469,Warehouse Associate (Part Time) Monday - Friday 7:00AM - 1:30PM Job @ NAPA,Warehouse Associate (Part Time) Monday - Friday 7:00AM - 1:30PM Job,NAPA,Jacksonville,Florida,FL,NA,2015-01-09 17:57:16 UTC,2015-01-09 17:58:19 UTC,63,2015-01-09 17:57:16 UTC,2015-01-09 17:57:16 UTC
11803,100524,Product Demonstrator - Costco,Product Demonstrator - Costco,NA,Geneva,Illinois,IL,NA,2015-01-09 17:56:47 UTC,2015-01-09 17:57:37 UTC,50,2015-01-09 17:56:47 UTC,2015-01-09 17:56:47 UTC
11806,82766,Customer Relations and In-Store Marketing @ Immediate Hire,Customer Relations and In-Store Marketing,Immediate Hire,Detroit,Michigan,MI,NA,2015-01-09 18:17:50 UTC,2015-01-09 18:18:01 UTC,10,2015-01-09 18:17:50 UTC,2015-01-09 18:17:50 UTC
11807,166056,Customer Service Representative @ OfficeTeam,Customer Service Representative,OfficeTeam,Richmond,Virginia,VA,NA,2015-01-09 18:20:51 UTC,2015-01-09 18:22:09 UTC,78,2015-01-09 18:20:51 UTC,2015-01-09 18:20:51 UTC
11807,166056,Customer Service Representative @ OfficeTeam,Customer Service Representative,OfficeTeam,Richmond,Virginia,VA,NA,2015-01-09 18:17:23 UTC,2015-01-09 18:18:02 UTC,39,2015-01-09 18:17:23 UTC,2015-01-09 18:17:23 UTC
11807,72194,Accounting Clerk @ Accountemps,Accounting Clerk,Accountemps,Richmond,Virginia,VA,NA,2015-01-09 18:23:21 UTC,2015-01-09 18:24:55 UTC,94,2015-01-09 18:23:21 UTC,2015-01-09 18:23:21 UTC
11808,117510,"Toys R Us and Babies R Us Seasonal Off Hours Stock Crew @ Toys ""R"" Us, Inc",Toys R Us and Babies R Us Seasonal Off Hours Stock Crew,"Toys ""R"" Us, Inc",Fullerton,California,CA,NA,2015-01-09 18:27:03 UTC,2015-01-09 18:27:19 UTC,15,2015-01-09 18:27:03 UTC,2015-01-09 18:27:03 UTC
11808,134572,Operations Clerk-Part-Time-UPS Freight @ UPS,Operations Clerk-Part-Time-UPS Freight,UPS,Fullerton,California,CA,NA,2015-01-09 18:27:41 UTC,2015-01-09 18:27:58 UTC,17,2015-01-09 18:27:41 UTC,2015-01-09 18:27:41 UTC
11808,92361,Part Time Driver @ Manheim,Part Time Driver,Manheim,Anaheim,California,CA,NA,2015-01-09 18:28:33 UTC,2015-01-09 18:29:29 UTC,56,2015-01-09 18:28:33 UTC,2015-01-09 18:28:33 UTC
11808,76556,Bus Person @ ARYZTA,Bus Person,ARYZTA,Anaheim,California,CA,NA,2015-01-09 18:29:50 UTC,2015-01-09 18:29:58 UTC,7,2015-01-09 18:29:50 UTC,2015-01-09 18:29:50 UTC
11810,150839,Certified Occupational Therapy Assistant (201529) @ LHC Group,Certified Occupational Therapy Assistant (201529),LHC Group,Camden,Alabama,AL,NA,2015-01-09 18:38:13 UTC,2015-01-09 18:41:14 UTC,180,2015-01-09 18:38:13 UTC,2015-01-09 18:38:13 UTC
11811,89895,"Patient Access Rep I & II @ Alta Hospital System, LLC",Patient Access Rep I & II,"Alta Hospital System, LLC",Los Angeles,California,CA,NA,2015-01-09 18:39:23 UTC,2015-01-09 18:40:28 UTC,64,2015-01-09 18:39:23 UTC,2015-01-09 18:39:23 UTC
11811,89895,"Patient Access Rep I & II @ Alta Hospital System, LLC",Patient Access Rep I & II,"Alta Hospital System, LLC",Los Angeles,California,CA,NA,2015-01-09 18:41:20 UTC,2015-01-09 18:47:57 UTC,396,2015-01-09 18:41:20 UTC,2015-01-09 18:41:20 UTC
11812,61483,"Part Time Customer Service Clerk - Springfield Town Center @ Harris Teeter, LLC",Part Time Customer Service Clerk - Springfield Town Center,"Harris Teeter, LLC",Rock Hill,South Carolina,SC,NA,2015-01-09 18:46:54 UTC,2015-01-09 18:48:28 UTC,94,2015-01-09 18:46:54 UTC,2015-01-09 18:46:54 UTC
11812,180272,Receptionist @ OfficeTeam,Receptionist,OfficeTeam,Matthews,North Carolina,NC,NA,2015-01-09 18:51:28 UTC,2015-01-09 18:52:38 UTC,70,2015-01-09 18:51:28 UTC,2015-01-09 18:51:28 UTC
11813,65228,Faculty I - On Call - Massage Therapy Instructor @ Everest College,Faculty I - On Call - Massage Therapy Instructor,Everest College,Ontario,California,CA,NA,2015-01-09 19:06:44 UTC,2015-01-09 19:06:47 UTC,3,2015-01-09 19:06:44 UTC,2015-01-09 19:06:44 UTC
11814,76916,**GRAND OPENING** New Location has ENTRY LEVEL POSITIONS @ BAY INC,**GRAND OPENING** New Location has ENTRY LEVEL POSITIONS,BAY INC,San Francisco,California,CA,NA,2015-01-09 19:24:59 UTC,2015-01-09 19:25:29 UTC,30,2015-01-09 19:24:59 UTC,2015-01-09 19:24:59 UTC
11817,73873,"Macy's Seasonal Retail Sales Part Time - Perry Hall, MD -  White Marsh @ Macy's","Macy's Seasonal Retail Sales Part Time - Perry Hall, MD -  White Marsh",Macy's,Baltimore,Maryland,MD,NA,2015-01-09 19:44:28 UTC,2015-01-09 19:45:00 UTC,31,2015-01-09 19:44:28 UTC,2015-01-09 19:44:28 UTC
11821,170973,Hiring Restaurant Positions - Servers -  Cooks - Host Staff @ LongHorn Steakhouse,Hiring Restaurant Positions - Servers -  Cooks - Host Staff,LongHorn Steakhouse,Kansas City,Kansas,KS,NA,2015-01-09 20:45:24 UTC,2015-01-09 20:46:20 UTC,55,2015-01-09 20:45:24 UTC,2015-01-09 20:45:24 UTC
11821,170973,Hiring Restaurant Positions - Servers -  Cooks - Host Staff @ LongHorn Steakhouse,Hiring Restaurant Positions - Servers -  Cooks - Host Staff,LongHorn Steakhouse,Kansas City,Kansas,KS,NA,2015-01-09 20:46:53 UTC,2015-01-09 21:33:29 UTC,2795,2015-01-09 20:46:53 UTC,2015-01-09 20:46:53 UTC
11822,178330,Research Assistant @ NorthShore University HealthSystem,Research Assistant,NorthShore University HealthSystem,Skokie,Illinois,IL,NA,2015-01-09 20:54:03 UTC,2015-01-09 20:54:30 UTC,26,2015-01-09 20:54:03 UTC,2015-01-09 20:54:03 UTC
11822,90270,"Cooks, Expo, Cashier, Service Attendant, Key, Dish & Drivers @ Corner Bakery Cafe","Cooks, Expo, Cashier, Service Attendant, Key, Dish & Drivers",Corner Bakery Cafe,Glenview,Illinois,IL,NA,2015-01-09 20:56:06 UTC,2015-01-09 20:56:53 UTC,47,2015-01-09 20:56:06 UTC,2015-01-09 20:56:06 UTC
11822,90270,"Cooks, Expo, Cashier, Service Attendant, Key, Dish & Drivers @ Corner Bakery Cafe","Cooks, Expo, Cashier, Service Attendant, Key, Dish & Drivers",Corner Bakery Cafe,Glenview,Illinois,IL,NA,2015-01-09 20:57:41 UTC,2015-01-09 21:06:51 UTC,550,2015-01-09 20:57:41 UTC,2015-01-09 20:57:41 UTC
11822,178494,Automotive Customer Service Receptionist / Cashier Positions (FT & PT) @ Steve Foley Cadillac of  Northbrook,Automotive Customer Service Receptionist / Cashier Positions (FT & PT),Steve Foley Cadillac of  Northbrook,Northbrook,Illinois,IL,NA,2015-01-09 21:08:17 UTC,2015-01-09 21:09:14 UTC,56,2015-01-09 21:08:17 UTC,2015-01-09 21:08:17 UTC
11822,183156,Test Raters @ Educational Testing Services,Test Raters,Educational Testing Services,Chicago,Illinois,IL,NA,2015-01-10 21:47:19 UTC,2015-01-10 21:48:27 UTC,68,2015-01-10 21:47:19 UTC,2015-01-10 21:47:19 UTC
11827,167735,Administrative Assistant @ OfficeTeam,Administrative Assistant,OfficeTeam,Batavia,Illinois,IL,NA,2015-01-09 21:16:29 UTC,2015-01-09 21:17:51 UTC,82,2015-01-09 21:16:29 UTC,2015-01-09 21:16:29 UTC
11827,168897,Customer Service Representative @ Oberweis Dairy,Customer Service Representative,Oberweis Dairy,North Aurora,Illinois,IL,NA,2015-01-09 21:14:09 UTC,2015-01-09 21:15:42 UTC,92,2015-01-09 21:14:09 UTC,2015-01-09 21:14:09 UTC
11827,159305,Dispatcher (Part Time) @ MV Transportation,Dispatcher (Part Time),MV Transportation,Batavia,Illinois,IL,NA,2015-01-09 21:19:08 UTC,2015-01-09 21:23:36 UTC,268,2015-01-09 21:19:08 UTC,2015-01-09 21:19:08 UTC
11827,61866,Administrative Support / Customer Service Opportunities @ United States Army,Administrative Support / Customer Service Opportunities,United States Army,Aurora,Illinois,IL,NA,2015-01-09 21:27:15 UTC,2015-01-09 21:27:52 UTC,36,2015-01-09 21:27:15 UTC,2015-01-09 21:27:15 UTC
11827,89979,Customer Service Representative - Home Based @ Higher One,Customer Service Representative - Home Based,Higher One,Aurora,Illinois,IL,NA,2015-01-09 21:32:35 UTC,2015-01-09 21:36:27 UTC,232,2015-01-09 21:32:35 UTC,2015-01-09 21:32:35 UTC
11827,84245,Project Assistant @ OfficeTeam,Project Assistant,OfficeTeam,Aurora,Illinois,IL,NA,2015-01-09 21:37:30 UTC,2015-01-09 21:37:57 UTC,26,2015-01-09 21:37:30 UTC,2015-01-09 21:37:30 UTC
11827,166391,Weekend Work & 3rd Shift - HIRING NOW!,Weekend Work & 3rd Shift - HIRING NOW!,,Aurora,Illinois,IL,NA,2015-01-09 21:39:06 UTC,2015-01-09 21:39:20 UTC,14,2015-01-09 21:39:06 UTC,2015-01-09 21:39:06 UTC
11827,176038,Brand Ambassadors Needed @ Bullpen,Brand Ambassadors Needed,Bullpen,West Chicago,Illinois,IL,NA,2015-01-09 21:44:11 UTC,2015-01-09 21:44:36 UTC,24,2015-01-09 21:44:11 UTC,2015-01-09 21:44:11 UTC
11827,170427,Centralized Scheduling Rep @ Cadence Health,Centralized Scheduling Rep,Cadence Health,Saint Charles,Illinois,IL,NA,2015-01-09 21:55:20 UTC,2015-01-09 21:55:47 UTC,27,2015-01-09 21:55:20 UTC,2015-01-09 21:55:20 UTC
11829,167812,"Driver/Customer Service Representative <26000 lbs - Woonsocket, RI @ Batesville","Driver/Customer Service Representative <26000 lbs - Woonsocket, RI",Batesville,Woonsocket,Rhode Island,RI,NA,2015-01-11 14:19:45 UTC,2015-01-11 14:20:28 UTC,43,2015-01-11 14:19:45 UTC,2015-01-11 14:19:45 UTC
11831,149988,College Instructors @ Mott Community College,College Instructors,Mott Community College,Detroit,Michigan,MI,NA,2015-01-09 21:54:51 UTC,NA,NA,2015-01-09 21:54:51 UTC,2015-01-09 21:54:51 UTC
11832,179803,Entry Level Dispatcher 1 to 2yrs experience ( Night Shift) @ OfficeTeam,Entry Level Dispatcher 1 to 2yrs experience ( Night Shift),OfficeTeam,Long Beach,California,CA,,2015-01-09 22:19:37 UTC,,NA,2015-01-09 22:19:37 UTC,2015-01-09 22:19:37 UTC
11832,166066,Entry Level Tax Preparers - Rapid Tax School @ Liberty Tax Service - Seasonal Opportunities,Entry Level Tax Preparers - Rapid Tax School,Liberty Tax Service - Seasonal Opportunities,Carson,California,CA,,2015-01-09 22:17:20 UTC,2015-01-09 22:19:55 UTC,155,2015-01-09 22:17:20 UTC,2015-01-09 22:17:20 UTC
11832,153198,Driving Partner @ Uber,Driving Partner,Uber,Los Angeles,California,CA,Transportation,2015-01-09 22:17:25 UTC,2015-01-09 22:21:22 UTC,236,2015-01-09 22:17:25 UTC,2015-01-09 22:17:25 UTC
11832,179803,Entry Level Dispatcher 1 to 2yrs experience ( Night Shift) @ OfficeTeam,Entry Level Dispatcher 1 to 2yrs experience ( Night Shift),OfficeTeam,Long Beach,California,CA,,2015-01-09 22:19:37 UTC,2015-01-09 22:19:49 UTC,11,2015-01-09 22:19:37 UTC,2015-01-09 22:19:37 UTC
11832,181081,Tax Preparer-Tax Accountant - Pro Systems @ Accountemps,Tax Preparer-Tax Accountant - Pro Systems,Accountemps,South Pasadena,California,CA,,2015-01-09 22:20:17 UTC,2015-01-09 22:21:36 UTC,78,2015-01-09 22:20:17 UTC,2015-01-09 22:20:17 UTC
11832,83154,Inventory Associate California @ WIS International,Inventory Associate California,WIS International,Carson,California,CA,,2015-01-09 22:20:44 UTC,,NA,2015-01-09 22:20:44 UTC,2015-01-09 22:20:44 UTC
11832,75997,Product Demonstrator - Costco,Product Demonstrator - Costco,,Torrance,California,CA,,2015-01-09 22:21:07 UTC,2015-01-09 22:25:46 UTC,278,2015-01-09 22:21:07 UTC,2015-01-09 22:21:07 UTC
11832,161222,Office/Warehouse Assistant,Office/Warehouse Assistant,,Wilmington,California,CA,,2015-01-09 22:20:59 UTC,2015-01-09 23:42:05 UTC,4866,2015-01-09 22:20:59 UTC,2015-01-09 22:20:59 UTC
11833,177801,Receptionist @ OfficeTeam,Receptionist,OfficeTeam,Gary,Indiana,IN,NA,2015-01-09 22:33:04 UTC,2015-01-09 22:33:56 UTC,51,2015-01-09 22:33:04 UTC,2015-01-09 22:33:04 UTC
